Unnamed: 0,old_id,label,text,Slogan,Restructured,Context (deprecated),Example,Argument,Support/Citation,Data Domain,Tool Used/Mentioned,Dashboard Type,Authors,Work,Year,Publisher,How I found it ,Format,Reason for Rating,Subjective Trust Score:,Link,id,doc_id,cleaned_text,tokens,preprocessed_text
355,D011.018,detail,Ensure adequate contrast between text and background colors. Dark text on a light background or light text on a dark background works best. Avoid using overly saturated colors or color combinations that can strain the eyes.,Contrast and Readability,,,,,,,UXPin Merge (prototype),"A dashboard is a visual display of essential information needed to achieve specific business objectives. It consolidates data from various sources into a single interface, using visualizations such as charts, graphs, and tables to present insights clearly and concisely. Dashboards are primarily used for tracking and analyzing KPIs, identifying trends, and making informed decisions based on real-time data.",UXPin,Effective Dashboard Design Principles for 2025,2025,UXPin,Recommendation from colleague,Blog post,Unsure of publisher (does provide dashboard design),3,https://www.uxpin.com/studio/blog/dashboard-design-principles/,UXPin_018_ensure_adequate_contrast_between,UXPin_018_ensure_adequate_contrast_between,Ensure adequate contrast between text and background colors. Dark text on a light background or light text on a dark background works best. Avoid using overly saturated colors or color combinations that can strain the eyes.,"['ensure', 'adequate', 'contrast', 'text', 'background', 'color', 'dark', 'text', 'light', 'background', 'light', 'text', 'dark', 'background', 'work', 'best', 'avoid', 'using', 'overly', 'saturated', 'color', 'color', 'combination', 'strain', 'eye']",ensure adequate contrast text background color dark text light background light text dark background work best avoid using overly saturated color color combination strain eye
357,D011.020,detail,"Avoid using color alone to convey information. Use patterns, labels, or icons in conjunction with color to differentiate data points. Utilize tools like color blindness simulators to check your design’s accessibility.",Color Blindness Considerations,,,,,,,UXPin Merge (prototype),"A dashboard is a visual display of essential information needed to achieve specific business objectives. It consolidates data from various sources into a single interface, using visualizations such as charts, graphs, and tables to present insights clearly and concisely. Dashboards are primarily used for tracking and analyzing KPIs, identifying trends, and making informed decisions based on real-time data.",UXPin,Effective Dashboard Design Principles for 2025,2025,UXPin,Recommendation from colleague,Blog post,Unsure of publisher (does provide dashboard design),3,https://www.uxpin.com/studio/blog/dashboard-design-principles/,UXPin_020_avoid_using_color_alone,UXPin_020_avoid_using_color_alone,"Avoid using color alone to convey information. Use patterns, labels, or icons in conjunction with color to differentiate data points. Utilize tools like color blindness simulators to check your design’s accessibility.","['avoid', 'using', 'color', 'alone', 'convey', 'information', 'use', 'pattern', 'label', 'icon', 'conjunction', 'color', 'differentiate', 'data', 'point', 'utilize', 'tool', 'like', 'color', 'blindness', 'simulator', 'check', 'design', 'accessibility']",avoid using color alone convey information use pattern label icon conjunction color differentiate data point utilize tool like color blindness simulator check design accessibility
384,D011.047,detail,"Use color, size, and shape to indicate relationships and emphasize important points. For example, using different shades of the same color to show different categories or applying color saturation to indicate magnitude can help users interpret the data more intuitively.",Leverage Visual Cues for Clarity:,,,,,,,UXPin Merge (prototype),"A dashboard is a visual display of essential information needed to achieve specific business objectives. It consolidates data from various sources into a single interface, using visualizations such as charts, graphs, and tables to present insights clearly and concisely. Dashboards are primarily used for tracking and analyzing KPIs, identifying trends, and making informed decisions based on real-time data.",UXPin,Effective Dashboard Design Principles for 2025,2025,UXPin,Recommendation from colleague,Blog post,Unsure of publisher (does provide dashboard design),3,https://www.uxpin.com/studio/blog/dashboard-design-principles/,UXPin_047_use_color_size_shape,UXPin_047_use_color_size_shape,"Use color, size, and shape to indicate relationships and emphasize important points. For example, using different shades of the same color to show different categories or applying color saturation to indicate magnitude can help users interpret the data more intuitively.","['use', 'color', 'size', 'shape', 'indicate', 'relationship', 'emphasize', 'important', 'point', 'example', 'using', 'different', 'shade', 'color', 'show', 'different', 'category', 'applying', 'color', 'saturation', 'indicate', 'magnitude', 'help', 'user', 'interpret', 'data', 'intuitively']",use color size shape indicate relationship emphasize important point example using different shade color show different category applying color saturation indicate magnitude help user interpret data intuitively
434,D013.026,detail,"Just because dashboards often include data views, that doesn’t mean they can’t look drop dead gorgeous. By keeping things light and airy, with prudent use of color, this publisher dashboard delivers clear visibility, simple navigation and striking good looks.",Use consistent design language and color scheme,,,Exemplar Dashboard,,,Nonspecific,Justinmind (prototyping tool),"At its simplest, a dashboard is a screen in your application that displays information. Normally, a dashboard provides the user a global overview, with access to the most important data, functions and controls. In reality, a dashboard often becomes a sort of homepage, especially for power users.",Justinmind,Dashboard Design: best practices and examples,2024,Justinmind,Recommendation from colleague,Blog post,No strong opinions,4,https://www.justinmind.com/ui-design/dashboard-design-best-practices-ux,Justinmind_026_just_because_dashboards_often,Justinmind_026_just_because_dashboards_often,"Just because dashboards often include data views, that doesn’t mean they can’t look drop dead gorgeous. By keeping things light and airy, with prudent use of color, this publisher dashboard delivers clear visibility, simple navigation and striking good looks.","['dashboard', 'often', 'include', 'data', 'view', 'mean', 'look', 'drop', 'dead', 'gorgeous', 'keeping', 'thing', 'light', 'airy', 'prudent', 'use', 'color', 'publisher', 'dashboard', 'delivers', 'clear', 'visibility', 'simple', 'navigation', 'striking', 'good', 'look']",dashboard often include data view mean look drop dead gorgeous keeping thing light airy prudent use color publisher dashboard delivers clear visibility simple navigation striking good look
444,D013.036,detail,"Carefully chosen colors, well-balanced layouts, and interactive elements like hover effects all contribute to a more engaging user experience. ",Engagement through design,,,,,,Nonspecific,Justinmind (prototyping tool),"At its simplest, a dashboard is a screen in your application that displays information. Normally, a dashboard provides the user a global overview, with access to the most important data, functions and controls. In reality, a dashboard often becomes a sort of homepage, especially for power users.",Justinmind,Dashboard Design: best practices and examples,2024,Justinmind,Recommendation from colleague,Blog post,No strong opinions,4,https://www.justinmind.com/ui-design/dashboard-design-best-practices-ux,Justinmind_036_carefully_chosen_colors_well,Justinmind_036_carefully_chosen_colors_well,"Carefully chosen colors, well-balanced layouts, and interactive elements like hover effects all contribute to a more engaging user experience.","['carefully', 'chosen', 'color', 'well', 'balanced', 'layout', 'interactive', 'element', 'like', 'hover', 'effect', 'contribute', 'engaging', 'user', 'experience']",carefully chosen color well balanced layout interactive element like hover effect contribute engaging user experience
477,D014.033,detail,It’s always better to tone most colors down. Dashboard design best practices always stress consistency when it comes to your choice of colors.,Be careful with colors – choose a few and stick to them,,,,,,BI,Nonspecific,an analysis tool that displays critical business data in a central location,RIB,25 Dashboard Design Principles & Best Practices To Enhance Your Data Analysis,2024,RIB,Recommendation from colleague,Blog post,Unsure of publisher,3,https://www.rib-software.com/en/blogs/bi-dashboard-design-principles-best-practices,RIB_033_always_better_tone_most,RIB_033_always_better_tone_most,It’s always better to tone most colors down. Dashboard design best practices always stress consistency when it comes to your choice of colors.,"['always', 'better', 'tone', 'color', 'dashboard', 'design', 'best', 'practice', 'always', 'stress', 'consistency', 'come', 'choice', 'color']",always better tone color dashboard design best practice always stress consistency come choice color
478,D014.034,detail,"You should use the same color for matching items across all charts. Doing so will minimize the mental effort required from a user’s perspective, making dashboards more comprehensible as a result. Moreover, if you’re looking to display items in a sequence or a group, you shouldn’t aim for random colors: if a relationship between categories exists (e.g., lead progression, grade levels, etc.), you should use the same color for all items, graduating the saturation for easy identification.",Be careful with colors – choose a few and stick to them,,,Exemplar Dashboard,,,BI,Nonspecific,an analysis tool that displays critical business data in a central location,RIB,25 Dashboard Design Principles & Best Practices To Enhance Your Data Analysis,2024,RIB,Recommendation from colleague,Blog post,Unsure of publisher,3,https://www.rib-software.com/en/blogs/bi-dashboard-design-principles-best-practices,RIB_034_you_should_use_same,RIB_034_you_should_use_same,"You should use the same color for matching items across all charts. Doing so will minimize the mental effort required from a user’s perspective, making dashboards more comprehensible as a result. Moreover, if you’re looking to display items in a sequence or a group, you shouldn’t aim for random colors: if a relationship between categories exists (e.g., lead progression, grade levels, etc.), you should use the same color for all items, graduating the saturation for easy identification.","['use', 'color', 'matching', 'item', 'across', 'chart', 'minimize', 'mental', 'effort', 'required', 'user', 'perspective', 'making', 'dashboard', 'comprehensible', 'result', 'moreover', 'looking', 'display', 'item', 'sequence', 'group', 'aim', 'random', 'color', 'relationship', 'category', 'exists', 'lead', 'progression', 'grade', 'level', 'etc', 'use', 'color', 'item', 'graduating', 'saturation', 'easy', 'identification']",use color matching item across chart minimize mental effort required user perspective making dashboard comprehensible result moreover looking display item sequence group aim random color relationship category exists lead progression grade level etc use color item graduating saturation easy identification
479,D014.035,detail,"Our final suggestion concerning colors is to be mindful when using “traffic light” colors. For most people, red means “stop” or “bad” and the green represents “good” or “go.” This distinction can prove very useful when designing dashboards – but only when you use these colors accordingly.",Be careful with colors – choose a few and stick to them,,,,,,BI,Nonspecific,an analysis tool that displays critical business data in a central location,RIB,25 Dashboard Design Principles & Best Practices To Enhance Your Data Analysis,2024,RIB,Recommendation from colleague,Blog post,Unsure of publisher,3,https://www.rib-software.com/en/blogs/bi-dashboard-design-principles-best-practices,RIB_035_our_final_suggestion_concerning,RIB_035_our_final_suggestion_concerning,"Our final suggestion concerning colors is to be mindful when using “traffic light” colors. For most people, red means “stop” or “bad” and the green represents “good” or “go.” This distinction can prove very useful when designing dashboards – but only when you use these colors accordingly.","['final', 'suggestion', 'concerning', 'color', 'mindful', 'using', 'traffic', 'light', 'color', 'people', 'red', 'mean', 'stop', 'bad', 'green', 'represents', 'good', 'distinction', 'prove', 'useful', 'designing', 'dashboard', 'use', 'color', 'accordingly']",final suggestion concerning color mindful using traffic light color people red mean stop bad green represents good distinction prove useful designing dashboard use color accordingly
532,D016.008,detail,"As such, put a lot of thought into choosing the color scheme of your data visualization. This means having a consistent color palette across your visualizations and using color systematically to distinguish between groups, levels of importance, and different kinds of information hierarchy.    ",Use colors creatively ,,,,,,Nonspecific,Multiple,"When building a dashboard, it is essential to understand which category of dashboard is best suited for your particular audience. The most common types of dashboards are as follows:
1. Operational Dashboards

Operational dashboards monitor real-time data, track the end-to-end performance of various business operations, and communicate insights through clear data visualizations. These dashboards are designed to be used in daily workflows and provide time-sensitive insights and alerts about real-time developments. Operational dashboards are consistently updated to help with at-a-glance decision-making. The primary audience for these dashboards are managers and operational teams. Examples include

    Marketing Dashboards—Website performance metrics such as bounce rate, user lifetime value, average session time, etc.
    Software Development—System crash analytics, uptime monitoring, cloud service billing monitoring, etc. 

2. Strategic Dashboards

Strategic dashboards are mostly used by C-level executives, directors, or business owners to monitor long-term company OKRs and KPIs. They provide high-level updates on the performance of the overall organization or department. These dashboards update data less frequently than operational dashboards which are designed to be viewed daily. Strategic dashboards are complex in their creation because they need to accurately track organization-wide metrics that can be found in disparate data sources. Examples of such dashboards include

    Organization-wide—Tracking revenue and company OKRs at a glance.
    Department-wide—Tracking the marketing funnel from acquisition to purchase.

3. Analytical Dashboards

As the name implies, these dashboards are used to analyze and consume large amounts of complex data. Modern dashboarding tools provide consumers and practitioners with features like drill-down options, extensive filters, and the capability to handle large amounts of data. With analytical dashboards, one can go beyond glancing at metrics and investigate the drivers and dynamics behind the data itself.

The primary audience for analytical dashboards is more technically-minded and can range from practitioners such as data scientists and analysts to managers looking to dig through insights. Examples of analytical dashboards include:

    Finance—Financial performance dashboards with the ability to break down revenue by channels, products, assets, and more
    Marketing—Google analytics dashboards providing high-level metrics and the ability to drill down to channels, referrals, traffic sources, and more",Anuj Syal,Best Practices for Designing Dashboards,2022,Datacamp,DuckDuckGo search,Blog post,No strong opinions (potential AI use),3,https://www.datacamp.com/blog/best-practices-for-designing-dashboards,Anuj_008_put_lot_thought_into,Anuj_008_put_lot_thought_into,"As such, put a lot of thought into choosing the color scheme of your data visualization. This means having a consistent color palette across your visualizations and using color systematically to distinguish between groups, levels of importance, and different kinds of information hierarchy.","['put', 'lot', 'thought', 'choosing', 'color', 'scheme', 'data', 'visualization', 'mean', 'consistent', 'color', 'palette', 'across', 'visualization', 'using', 'color', 'systematically', 'distinguish', 'group', 'level', 'importance', 'different', 'kind', 'information', 'hierarchy']",put lot thought choosing color scheme data visualization mean consistent color palette across visualization using color systematically distinguish group level importance different kind information hierarchy
582,D018.030,detail,"To avoid this, aim for high color contrast for texts and backgrounds while sticking to a limited color palette overall.",Poor color choices or typography that affect readability,,,,,,Nonspecific,Nonspecific,"These handy interfaces don’t just provide quick insights and data deep dives that support businesses and individuals in making informed decisions, but also present numbers in a way that’s intuitive, actionable, and visually compelling. ",Rosie Allabarton,A Complete Guide to Dashboard UI Design,2025,And Academy,DuckDuckGo search,Blog post,Unsure of publisher,3,https://www.andacademy.com/resources/blog/ui-ux-design/dashboard-ui-design/,Rosie_030_avoid_aim_high_color,Rosie_030_avoid_aim_high_color,"To avoid this, aim for high color contrast for texts and backgrounds while sticking to a limited color palette overall.","['avoid', 'aim', 'high', 'color', 'contrast', 'text', 'background', 'sticking', 'limited', 'color', 'palette', 'overall']",avoid aim high color contrast text background sticking limited color palette overall
597,D019.011,detail,Use dark elements with purpose since they carry more visual weight than light ones,Visual Weight Distribution,,,,,,Nonspecific,Nonspecific,Undefined,Siddharth Vij,15 Dashboard Design Principles That Actually Work in 2025,2025,Bricx,DuckDuckGo search,Blog post,Overuse of vague study mentions,2,https://bricxlabs.com/blogs/tips-for-dashboard-design,Siddharth_011_use_dark_elements_purpose,Siddharth_011_use_dark_elements_purpose,Use dark elements with purpose since they carry more visual weight than light ones,"['use', 'dark', 'element', 'purpose', 'since', 'carry', 'visual', 'weight', 'light', 'one']",use dark element purpose since carry visual weight light one
608,D019.022,detail,"Sequential palettes work for ordered numbers, with darker shades showing higher values",Color Psychology in Data,,,,,,Nonspecific,Nonspecific,Undefined,Siddharth Vij,15 Dashboard Design Principles That Actually Work in 2025,2025,Bricx,DuckDuckGo search,Blog post,Overuse of vague study mentions,2,https://bricxlabs.com/blogs/tips-for-dashboard-design,Siddharth_022_sequential_palettes_work_ordered,Siddharth_022_sequential_palettes_work_ordered,"Sequential palettes work for ordered numbers, with darker shades showing higher values","['sequential', 'palette', 'work', 'ordered', 'number', 'darker', 'shade', 'showing', 'higher', 'value']",sequential palette work ordered number darker shade showing higher value
609,D019.023,detail,Diverging palettes help highlight differences from a central point,Color Psychology in Data,,,,,,Nonspecific,Nonspecific,Undefined,Siddharth Vij,15 Dashboard Design Principles That Actually Work in 2025,2025,Bricx,DuckDuckGo search,Blog post,Overuse of vague study mentions,2,https://bricxlabs.com/blogs/tips-for-dashboard-design,Siddharth_023_diverging_palettes_help_highlight,Siddharth_023_diverging_palettes_help_highlight,Diverging palettes help highlight differences from a central point,"['diverging', 'palette', 'help', 'highlight', 'difference', 'central', 'point']",diverging palette help highlight difference central point
610,D019.024,detail,Keep qualitative palettes between 6-10 distinct colors for the best results,Color Psychology in Data,,,,,,Nonspecific,Nonspecific,Undefined,Siddharth Vij,15 Dashboard Design Principles That Actually Work in 2025,2025,Bricx,DuckDuckGo search,Blog post,Overuse of vague study mentions,2,https://bricxlabs.com/blogs/tips-for-dashboard-design,Siddharth_024_keep_qualitative_palettes_between,Siddharth_024_keep_qualitative_palettes_between,Keep qualitative palettes between 6-10 distinct colors for the best results,"['keep', 'qualitative', 'palette', 'distinct', 'color', 'best', 'result']",keep qualitative palette distinct color best result
611,D019.025,detail,Make sure there's enough contrast and test how your visualizations look to colorblind users - about 4% of people have trouble seeing certain colors.,Color Psychology in Data,,,,,,Nonspecific,Nonspecific,Undefined,Siddharth Vij,15 Dashboard Design Principles That Actually Work in 2025,2025,Bricx,DuckDuckGo search,Blog post,Overuse of vague study mentions,2,https://bricxlabs.com/blogs/tips-for-dashboard-design,Siddharth_025_make_sure_there_enough,Siddharth_025_make_sure_there_enough,Make sure there's enough contrast and test how your visualizations look to colorblind users - about 4% of people have trouble seeing certain colors.,"['make', 'sure', 'enough', 'contrast', 'test', 'visualization', 'look', 'colorblind', 'user', 'people', 'trouble', 'seeing', 'certain', 'color']",make sure enough contrast test visualization look colorblind user people trouble seeing certain color
620,D019.034,detail,Apply subtle borders or background colors to define distinct sections,Enclosure,,,,,,Nonspecific,Nonspecific,Undefined,Siddharth Vij,15 Dashboard Design Principles That Actually Work in 2025,2025,Bricx,DuckDuckGo search,Blog post,Overuse of vague study mentions,2,https://bricxlabs.com/blogs/tips-for-dashboard-design,Siddharth_034_apply_subtle_borders_background,Siddharth_034_apply_subtle_borders_background,Apply subtle borders or background colors to define distinct sections,"['apply', 'subtle', 'border', 'background', 'color', 'define', 'distinct', 'section']",apply subtle border background color define distinct section
728,D021.024,detail,"t is best to keep the number of colors to a minimum, say two or three. Once certain colors are picked, they must be followed throughout the dashboard design.",Thoughtful use of colors,,,,,,Nonspecific,Nonspecific,“A dashboard is a visual display of data used to monitor conditions and/or facilitate understanding.”,Fazmeena,Top 30 Best Dashboard UI/UX Design Principles You Must Know in 2025,2024,AufaitUX,DuckDuckGo search,Blog post,"Unsure of publisher, author doesn't use full name",3,https://www.aufaitux.com/blog/dashboard-design-principles/,Fazmeena_024_best_keep_number_colors,Fazmeena_024_best_keep_number_colors,"t is best to keep the number of colors to a minimum, say two or three. Once certain colors are picked, they must be followed throughout the dashboard design.","['best', 'keep', 'number', 'color', 'minimum', 'say', 'two', 'three', 'certain', 'color', 'picked', 'must', 'followed', 'throughout', 'dashboard', 'design']",best keep number color minimum say two three certain color picked must followed throughout dashboard design
729,D021.025,detail,Playing with shades of the selected colours to bring attention to certain elements of the dashboard is often practiced.,Thoughtful use of colors,,,,,,Nonspecific,Nonspecific,“A dashboard is a visual display of data used to monitor conditions and/or facilitate understanding.”,Fazmeena,Top 30 Best Dashboard UI/UX Design Principles You Must Know in 2025,2024,AufaitUX,DuckDuckGo search,Blog post,"Unsure of publisher, author doesn't use full name",3,https://www.aufaitux.com/blog/dashboard-design-principles/,Fazmeena_025_playing_shades_selected_colours,Fazmeena_025_playing_shades_selected_colours,Playing with shades of the selected colours to bring attention to certain elements of the dashboard is often practiced.,"['playing', 'shade', 'selected', 'colour', 'bring', 'attention', 'certain', 'element', 'dashboard', 'often', 'practiced']",playing shade selected colour bring attention certain element dashboard often practiced
730,D021.026,detail,Saturated colours are used sparingly as it is found to affect the user experience adversely,Thoughtful use of colors,,,,,,Nonspecific,Nonspecific,“A dashboard is a visual display of data used to monitor conditions and/or facilitate understanding.”,Fazmeena,Top 30 Best Dashboard UI/UX Design Principles You Must Know in 2025,2024,AufaitUX,DuckDuckGo search,Blog post,"Unsure of publisher, author doesn't use full name",3,https://www.aufaitux.com/blog/dashboard-design-principles/,Fazmeena_026_saturated_colours_used_sparingly,Fazmeena_026_saturated_colours_used_sparingly,Saturated colours are used sparingly as it is found to affect the user experience adversely,"['saturated', 'colour', 'used', 'sparingly', 'found', 'affect', 'user', 'experience', 'adversely']",saturated colour used sparingly found affect user experience adversely
731,D021.027,detail,Using a single color for similar items throughout the dashboard design is a good UI UX design practice.  ,Thoughtful use of colors,,,,,,Nonspecific,Nonspecific,“A dashboard is a visual display of data used to monitor conditions and/or facilitate understanding.”,Fazmeena,Top 30 Best Dashboard UI/UX Design Principles You Must Know in 2025,2024,AufaitUX,DuckDuckGo search,Blog post,"Unsure of publisher, author doesn't use full name",3,https://www.aufaitux.com/blog/dashboard-design-principles/,Fazmeena_027_using_single_color_similar,Fazmeena_027_using_single_color_similar,Using a single color for similar items throughout the dashboard design is a good UI UX design practice.,"['using', 'single', 'color', 'similar', 'item', 'throughout', 'dashboard', 'design', 'good', 'design', 'practice']",using single color similar item throughout dashboard design good design practice
780,D022.012,detail,". Color choices must made thoughtfully, based on an understanding of how people perceive color and the significance of color differences.",Misusing or overusing color,,,Exemplar Dashboard (Negative),,,Nonspecific,Nonspecific,"A dashboard is a visual display of the most important information needed to achieve one or more objectives,
consolidated and arranged on a single screen so the information can be monitored at a glance.",Stephen Few,Common Pitfalls in Dashboard Design,2006,Perceptual Edge,Google Scholar,White paper,Stephen Few is an authority on the subject,5,https://www.perceptualedge.com/articles/Whitepapers/Common_Pitfalls.pdf,Stephen_012_color_choices_must_made,Stephen_012_color_choices_must_made,". Color choices must made thoughtfully, based on an understanding of how people perceive color and the significance of color differences.","['color', 'choice', 'must', 'made', 'thoughtfully', 'based', 'understanding', 'people', 'perceive', 'color', 'significance', 'color', 'difference']",color choice must made thoughtfully based understanding people perceive color significance color difference
795,D023.014,detail,"If you have a complex chart, use color to guide understanding, and be sure to make it large enough for easy reading.",Design for Ease of Use,,,,,,BI,Nonspecific,"Your business intelligence dashboard is the portal to your most important business metrics and insights. It can be the daily gateway into your team’s activities, the scoreboard for your organizational goals, or a way for your company’s stakeholders to find new insights.",Natasha,Dashboard Design Best Practices: The Dashboard's Purpose,2015,Chartio,Google search,Blog post,Unsure of publisher,3,https://chartio.com/blog/dashboard-design-best-practices-dashboards-purpose/,Natasha_014_you_have_complex_chart,Natasha_014_you_have_complex_chart,"If you have a complex chart, use color to guide understanding, and be sure to make it large enough for easy reading.","['complex', 'chart', 'use', 'color', 'guide', 'understanding', 'sure', 'make', 'large', 'enough', 'easy', 'reading']",complex chart use color guide understanding sure make large enough easy reading
797,D023.016,detail,Color should be used sparingly in order to have the appropriate impact,Color,,,,,,BI,Nonspecific,"Your business intelligence dashboard is the portal to your most important business metrics and insights. It can be the daily gateway into your team’s activities, the scoreboard for your organizational goals, or a way for your company’s stakeholders to find new insights.",Natasha,Dashboard Design Best Practices: The Dashboard's Purpose,2015,Chartio,Google search,Blog post,Unsure of publisher,3,https://chartio.com/blog/dashboard-design-best-practices-dashboards-purpose/,Natasha_016_color_should_used_sparingly,Natasha_016_color_should_used_sparingly,Color should be used sparingly in order to have the appropriate impact,"['color', 'used', 'sparingly', 'order', 'appropriate', 'impact']",color used sparingly order appropriate impact
798,D023.017,detail,Use earthtones and cool colors that are less distracting and natural,Color,,,,,,BI,Nonspecific,"Your business intelligence dashboard is the portal to your most important business metrics and insights. It can be the daily gateway into your team’s activities, the scoreboard for your organizational goals, or a way for your company’s stakeholders to find new insights.",Natasha,Dashboard Design Best Practices: The Dashboard's Purpose,2015,Chartio,Google search,Blog post,Unsure of publisher,3,https://chartio.com/blog/dashboard-design-best-practices-dashboards-purpose/,Natasha_017_use_earthtones_cool_colors,Natasha_017_use_earthtones_cool_colors,Use earthtones and cool colors that are less distracting and natural,"['use', 'earthtones', 'cool', 'color', 'less', 'distracting', 'natural']",use earthtones cool color less distracting natural
799,D023.018,detail,"Use color to display meaning such as positive or negative change, categories, or importance. Keep in mind some colors can have different meanings in different cultures.",Color,,,,,,BI,Nonspecific,"Your business intelligence dashboard is the portal to your most important business metrics and insights. It can be the daily gateway into your team’s activities, the scoreboard for your organizational goals, or a way for your company’s stakeholders to find new insights.",Natasha,Dashboard Design Best Practices: The Dashboard's Purpose,2015,Chartio,Google search,Blog post,Unsure of publisher,3,https://chartio.com/blog/dashboard-design-best-practices-dashboards-purpose/,Natasha_018_use_color_display_meaning,Natasha_018_use_color_display_meaning,"Use color to display meaning such as positive or negative change, categories, or importance. Keep in mind some colors can have different meanings in different cultures.","['use', 'color', 'display', 'meaning', 'positive', 'negative', 'change', 'category', 'importance', 'keep', 'mind', 'color', 'different', 'meaning', 'different', 'culture']",use color display meaning positive negative change category importance keep mind color different meaning different culture
802,D023.021,detail,"In most cases, you will only need to use two or three different colors on your dashboards",Typography,,,,,,BI,Nonspecific,"Your business intelligence dashboard is the portal to your most important business metrics and insights. It can be the daily gateway into your team’s activities, the scoreboard for your organizational goals, or a way for your company’s stakeholders to find new insights.",Natasha,Dashboard Design Best Practices: The Dashboard's Purpose,2015,Chartio,Google search,Blog post,Unsure of publisher,3,https://chartio.com/blog/dashboard-design-best-practices-dashboards-purpose/,Natasha_021_most_cases_you_will,Natasha_021_most_cases_you_will,"In most cases, you will only need to use two or three different colors on your dashboards","['case', 'need', 'use', 'two', 'three', 'different', 'color', 'dashboard']",case need use two three different color dashboard
803,D023.022,detail,"Only utilize color for very important elements or for very specific context (positive change, negative change, alerts, groupings). Be mindful of the readability of text with color changes.",Typography,,,,,,BI,Nonspecific,"Your business intelligence dashboard is the portal to your most important business metrics and insights. It can be the daily gateway into your team’s activities, the scoreboard for your organizational goals, or a way for your company’s stakeholders to find new insights.",Natasha,Dashboard Design Best Practices: The Dashboard's Purpose,2015,Chartio,Google search,Blog post,Unsure of publisher,3,https://chartio.com/blog/dashboard-design-best-practices-dashboards-purpose/,Natasha_022_only_utilize_color_very,Natasha_022_only_utilize_color_very,"Only utilize color for very important elements or for very specific context (positive change, negative change, alerts, groupings). Be mindful of the readability of text with color changes.","['utilize', 'color', 'important', 'element', 'specific', 'context', 'positive', 'change', 'negative', 'change', 'alert', 'grouping', 'mindful', 'readability', 'text', 'color', 'change']",utilize color important element specific context positive change negative change alert grouping mindful readability text color change
827,D026.007,detail,What do colors mean and can they be visually interpreted?,What do colors mean and can they be visually interpreted?,,,Exemplar Dashboard (Positive and Negative) (Image Not Currently Available),,,Nonspecific,Power BI,Undefined,Jen Underwood and Jaimie Fox,The Art and Science of Effective Dashboard Design,2015,Microsoft,Google search,Blog post,Image links broken,4,https://powerbi.microsoft.com/en-us/blog/the-art-and-science-of-effective-dashboard-design/,Jen_007_what_colors_mean_can,Jen_007_what_colors_mean_can,What do colors mean and can they be visually interpreted?,"['color', 'mean', 'visually', 'interpreted']",color mean visually interpreted
829,D026.009,detail,Don’t forget to use color blind friendly palettes or icons. ,Don’t forget to use color blind friendly palettes or icons. ,,,Exemplar Dashboard (Positive and Negative) (Image Not Currently Available),,,Nonspecific,Power BI,Undefined,Jen Underwood and Jaimie Fox,The Art and Science of Effective Dashboard Design,2015,Microsoft,Google search,Blog post,Image links broken,4,https://powerbi.microsoft.com/en-us/blog/the-art-and-science-of-effective-dashboard-design/,Jen_009_don_forget_use_color,Jen_009_don_forget_use_color,Don’t forget to use color blind friendly palettes or icons.,"['forget', 'use', 'color', 'blind', 'friendly', 'palette', 'icon']",forget use color blind friendly palette icon
858,D028.012,detail,"As a result, pick the right colors and contrast to simplify complex and cluttered content to make it easy to consume. One tip is to focus on maximum contrasting colors and avoid inefficient gradients.",Use the right aesthetics.,,,,,,Nonspecific,Nonspecific,"Dashboards are used in SaaS products to offer essential data, including key metrics, KPIs, and other necessary information to monitor the product’s performance. They use graphs, pie charts, tables, maps, and more visually appealing features to make the user interpret the data in one glance. Using visuals to present data makes it super easy for users to view data and make decisions that would benefit them in their journey on the product.","Aina, Muzammil",Top 23 Dashboard Design Examples and Practices,2024,Denovers,DuckDuckGo search,Blog post,Unsure of publisher,3,https://www.denovers.com/blog/top-dashboard-design-examples-and-practices,Aina_012_result_pick_right_colors,Aina_012_result_pick_right_colors,"As a result, pick the right colors and contrast to simplify complex and cluttered content to make it easy to consume. One tip is to focus on maximum contrasting colors and avoid inefficient gradients.","['result', 'pick', 'right', 'color', 'contrast', 'simplify', 'complex', 'cluttered', 'content', 'make', 'easy', 'consume', 'one', 'tip', 'focus', 'maximum', 'contrasting', 'color', 'avoid', 'inefficient', 'gradient']",result pick right color contrast simplify complex cluttered content make easy consume one tip focus maximum contrasting color avoid inefficient gradient
868,D029.009,detail,The color palette used in a dashboard’s design should also be considered as a context.,Context in Dashboard Design,,,,,,Nonspecific,Nonspecific,A dashboard is a visual display of the most important information needed to achieve one or more objectives; consolidated and arranged on a single screen so the information can be monitored at a glance.,Stelian Subotin,Dashboard Design: Considerations and Best Practices,Unknown,Toptal,Recommendation from colleague,Blog post,No strong opinion,4,https://www.toptal.com/designers/data-visualization/dashboard-design-best-practices,Stelian_009_color_palette_used_dashboard,Stelian_009_color_palette_used_dashboard,The color palette used in a dashboard’s design should also be considered as a context.,"['color', 'palette', 'used', 'dashboard', 'design', 'also', 'considered', 'context']",color palette used dashboard design also considered context
